field1,field2,field3
-15,-22,1026
-21,-21,1030
-17,-20,1032
-17,-16,1033
-20,-21,1037
-17,-25,1037
-18,-17,1033
-16,-21,1040
-14,-20,1034
-22,-19,1033
-13,-18,1037
-14,-17,1037
-17,-19,1035
-19,-23,1029
-15,-17,1035
-21,-20,1028
-18,-19,1039
-17,-22,1036
-15,-22,1040
-16,-16,1033
-16,-23,1034
-18,-22,1031
-22,-18,1036
-20,-22,1038
-20,-20,1036
-13,-19,1037
-18,-18,1031
-16,-19,1031
-21,-20,1036
-17,-17,1034
-21,-19,1033
-17,-18,1032
-16,-21,1036
-21,-25,1034
-22,-19,1036
-18,-20,1036
-15,-16,1034
-17,-21,1037
-19,-20,1039
-21,-21,1037
-16,-14,1038
-16,-21,1031
-18,-21,1040
-22,-20,1036
-16,-19,1036
-18,-23,1034
-16,-17,1033
-13,-25,1038
-15,-19,1032
-14,-24,1031
-19,-18,1027
-20,-19,1033
-21,-17,1032
-15,-20,1034
-21,-19,1030
-11,-19,1035
-14,-20,1033
-20,-19,1042
-15,-22,1040
-15,-19,1029
-15,-23,1034
-21,-18,1040
-19,-20,1028
-16,-18,1032
-20,-17,1031
-19,-17,1032
-23,-20,1030
-18,-22,1037
-15,-23,1037
-20,-22,1031
-16,-16,1031
-21,-16,1034
-17,-21,1031
-15,-16,1037
-18,-18,1032
-17,-21,1034
-18,-18,1032
-18,-17,1028
-18,-20,1029
-17,-18,1034
-19,-23,1034
-18,-26,1037
-16,-19,1035
-18,-16,1035
-19,-20,1033
-20,-22,1036
-22,-21,1032
-16,-18,1032
-16,-21,1031
-19,-22,1030
-18,-20,1031
-16,-20,1032
-22,-18,1028
-20,-21,1039
-14,-17,1029
-20,-21,1035
-15,-19,1035
-20,-17,1035
-14,-22,1034
-21,-22,1032
-18,-21,1030
-19,-21,1032
-17,-21,1035
-19,-19,1034
-20,-17,1033
-20,-21,1031
-17,-23,1034
-14,-19,1033
-18,-21,1030
-19,-20,1036
-21,-21,1037
-18,-15,1039
-19,-20,1033
-17,-23,1032
-15,-26,1037
-17,-22,1030
-18,-20,1030
-18,-20,1036
-20,-21,1037
-19,-16,1032
-18,-23,1034
-18,-21,1038
-16,-17,1026
-18,-24,1033
-16,-24,1034
-19,-18,1035
-16,-19,1036
-21,-23,1034
-21,-21,1039
-16,-19,1034
-19,-17,1034
-17,-22,1027
-18,-20,1033
-17,-17,1030
-17,-19,1029
-16,-21,1032
-15,-21,1029
-20,-17,1031
-21,-21,1035
-18,-25,1034
-16,-19,1033
-20,-21,1037
-20,-21,1036
-19,-20,1028
-23,-23,1032
-15,-24,1040
-16,-20,1034
-19,-19,1033
-21,-21,1033
-19,-18,1029
-18,-21,1040
-23,-18,1033
-16,-18,1034
-21,-19,1032
-20,-17,1031
-21,-17,1036
-17,-16,1028
-18,-22,1029
-15,-20,1034
-21,-19,1027
-18,-22,1033
-20,-21,1039
-19,-19,1030
-15,-17,1027
-17,-16,1038
-15,-18,1036
-20,-20,1037
-15,-22,1035
-20,-26,1031
-17,-17,1033
-19,-18,1039
-20,-18,1035
-20,-20,1032
-21,-20,1035
-20,-16,1030
-15,-25,1033
-19,-18,1036
-19,-19,1027
-17,-16,1036
-18,-17,1028
-20,-22,1030
-21,-21,1035
-17,-23,1037
-19,-20,1027
-17,-23,1030
-16,-18,1037
-22,-22,1030
-16,-19,1040
-17,-21,1033
-20,-27,1036
-17,-17,1030
-21,-21,1032
-15,-18,1032
-17,-20,1040
-18,-21,1031
-21,-22,1033
-17,-15,1038
-18,-22,1043
-18,-17,1036
-20,-22,1031
-20,-17,1033
-17,-25,1032
-18,-23,1032
-22,-18,1033
-18,-21,1032
-18,-19,1038
-13,-24,1036
-19,-22,1032
-18,-22,1034
-14,-20,1035
-16,-23,1033
-18,-19,1033
-22,-20,1028
-16,-16,1035
-17,-21,1037
-18,-20,1037
-15,-19,1032
-19,-18,1032
-20,-23,1032
-21,-21,1034
-20,-20,1039
-21,-18,1032
-15,-18,1031
-17,-26,1032
-19,-18,1040
-19,-19,1034
-17,-20,1039
-17,-24,1034
-22,-20,1032
-14,-16,1033
-20,-24,1035
-15,-25,1030
-20,-18,1031
-20,-24,1030
-17,-20,1036
-19,-20,1028
-19,-24,1034
-18,-17,1033
-20,-18,1030
-17,-20,1040
-21,-23,1035
-17,-22,1031
-15,-18,1035
-22,-19,1026
-15,-20,1034
-20,-25,1030
-17,-23,1032
-17,-16,1037
-22,-18,1037
-14,-22,1032
-16,-19,1036
-21,-21,1040
-17,-19,1036
-17,-19,1033
-18,-21,1034
-19,-19,1029
-17,-22,1029
-18,-20,1037
-16,-25,1031
-17,-24,1029
-18,-18,1037
-17,-22,1031
-16,-22,1033
-19,-20,1028
-21,-18,1031
-15,-20,1031
-18,-21,1031
-19,-21,1027
-20,-17,1031
-16,-22,1032
-19,-20,1035
-18,-19,1038
-15,-22,1030
